Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2015-03-05,186.08396911621094,202.28468322753906,205.4391326904297,200.73031616210938,204.01048278808594,10716702
2015-03-09,182.86671447753906,198.787353515625,203.83905029296875,197.5301513671875,202.3189697265625,14065391
2015-03-10,180.6588134765625,196.38723754882812,200.19314575195312,195.53004455566406,198.62734985351562,15234060
2015-03-11,179.98593139648438,195.65577697753906,198.7759246826172,194.84429931640625,196.79869079589844,11635873
2015-03-12,181.63661193847656,197.4501495361328,198.27305603027344,195.5757598876953,196.12437438964844,11782380
2015-03-13,178.75582885742188,194.3185577392578,198.7759246826172,193.60995483398438,198.63877868652344,12936157
2015-03-16,177.07362365722656,192.48989868164062,195.1986083984375,192.0784454345703,194.63858032226562,13839990
2015-03-17,180.1751708984375,195.8614959716797,196.5586700439453,192.2384490966797,194.42141723632812,19070082
2015-03-18,182.65646362304688,198.55877685546875,199.38168334960938,195.3700408935547,195.89578247070312,9269885
2015-03-19,180.0280303955078,195.7014923095703,200.39886474609375,195.23289489746094,200.13600158691406,13934612
2015-03-20,179.59693908691406,195.23289489746094,196.8444061279297,193.97567749023438,196.10150146484375,10405717
2015-03-23,177.0420684814453,192.4556121826172,197.49586486816406,191.5755615234375,195.781494140625,13251683
2015-03-24,178.30372619628906,193.8271026611328,195.2786102294922,192.48989868164062,192.48989868164062,9238431
2015-03-25,177.66238403320312,193.1299285888672,194.18141174316406,192.2384490966797,194.06712341308594,10264941
2015-03-26,174.382080078125,189.56402587890625,194.124267578125,188.37539672851562,192.2613067626953,20621346
2015-03-27,170.68121337890625,185.5409698486328,190.86695861816406,183.19798278808594,190.61550903320312,23326922
2015-03-30,170.48146057128906,185.3238067626953,186.91246032714844,182.05506896972656,186.66102600097656,17330588
2015-03-31,173.6881866455078,188.80970764160156,190.38693237304688,186.9810333251953,186.9810333251953,20235395
2015-04-01,175.8014373779297,191.10696411132812,191.78128051757812,185.86097717285156,188.55825805664062,14588531
2015-04-06,173.40432739257812,188.50111389160156,191.55270385742188,187.7582244873047,191.0955352783203,12334096
2015-04-07,175.1285858154297,190.37550354003906,191.11839294433594,188.82113647460938,188.82113647460938,21275454
2015-04-08,182.07818603515625,197.93017578125,198.75306701660156,190.38693237304688,190.52407836914062,24821205
2015-04-09,188.21826171875,204.60479736328125,205.49627685546875,196.30723571777344,197.8387451171875,27276420
2015-04-10,190.16329956054688,206.7191925048828,207.73638916015625,203.23330688476562,204.5705108642578,25323219
2015-04-13,193.97984313964844,210.86798095703125,211.38229370117188,205.4391326904297,207.2792205810547,20177342
2015-04-15,194.22164916992188,211.130859375,214.77674865722656,207.37066650390625,210.5251007080078,22231264
2015-04-16,195.20994567871094,212.2052001953125,214.41102600097656,210.0679473876953,211.3251495361328,20177302
2015-04-17,194.89450073242188,211.86231994628906,215.85108947753906,210.89083862304688,213.7366943359375,23958678
2015-04-20,186.23117065429688,202.44468688964844,214.28529357910156,200.81031799316406,214.25100708007812,37628162
2015-04-21,184.2965850830078,200.3417205810547,204.6962432861328,199.42739868164062,203.4733123779297,17707007
2015-04-22,184.99050903320312,201.09605407714844,202.69613647460938,198.18161010742188,201.58750915527344,14761313
2015-04-23,184.42279052734375,200.4788818359375,203.3018798828125,198.65020751953125,202.0332489013672,13337818
2015-04-24,184.811767578125,200.90174865722656,202.17039489746094,198.55877685546875,200.4674530029297,12709854
2015-04-27,184.0548095703125,200.078857421875,202.86756896972656,199.1988067626953,201.1646270751953,11042925
2015-04-28,181.9309844970703,197.77017211914062,201.61036682128906,196.25009155273438,199.94171142578125,14687371
2015-04-29,178.73480224609375,194.2957000732422,198.9930877685547,193.70138549804688,197.0386962890625,16387960
2015-04-30,181.3317108154297,197.1186981201172,197.93017578125,193.8271026611328,194.2957000732422,34802149
2015-05-04,187.3456268310547,203.65618896484375,204.33050537109375,196.69583129882812,197.99874877929688,15078502
2015-05-05,187.5979461669922,203.93048095703125,206.1363067626953,202.3189697265625,204.2847900390625,17846755
2015-05-06,185.0956573486328,201.21034240722656,204.98196411132812,199.32452392578125,203.43902587890625,22438208
2015-05-07,183.0980224609375,199.03880310058594,200.79888916015625,196.58152770996094,200.01028442382812,16735535
2015-05-08,189.43983459472656,203.37045288085938,204.2962188720703,196.83297729492188,199.095947265625,17104443
2015-05-11,190.7706298828125,204.79910278320312,205.59913635253906,201.9303741455078,204.09048461914062,14214007
2015-05-12,184.9683837890625,198.57020568847656,204.55908203125,197.7587432861328,204.55908203125,16650201
2015-05-13,188.4604034423828,202.3189697265625,203.1304473876953,195.94149780273438,199.63311767578125,16701434
2015-05-14,186.99118041992188,200.7417449951172,202.57041931152344,198.93594360351562,202.52468872070312,12329713
2015-05-15,186.08628845214844,199.770263671875,202.74185180664062,198.89022827148438,201.58750915527344,8331715
2015-05-18,189.83377075195312,203.7933349609375,204.35336303710938,199.37025451660156,199.9874267578125,9847540
2015-05-19,190.6854705810547,204.70767211914062,206.81063842773438,202.66184997558594,203.72476196289062,14513036
2015-05-20,193.51736450195312,207.74781799316406,208.23927307128906,205.19911193847656,205.81629943847656,8708891
2015-05-21,190.94097900390625,204.98196411132812,209.2450408935547,204.376220703125,208.29641723632812,10759523
2015-05-22,192.45274353027344,206.6049041748047,207.0049285888672,205.0391082763672,205.0391082763672,8349048
2015-05-25,190.46188354492188,204.4676513671875,207.55352783203125,203.9761962890625,205.724853515625,6617337
2015-05-26,188.3539276123047,202.20468139648438,204.81053161621094,201.77037048339844,204.58193969726562,9510249
2015-05-27,188.5029754638672,202.36468505859375,203.64476013183594,201.19891357421875,202.52468872070312,8078236
2015-05-28,186.48019409179688,200.19314575195312,204.41050720214844,199.32452392578125,202.4904022216797,26538868
2015-05-29,186.73568725585938,200.4674530029297,202.6275634765625,199.5759735107422,201.13034057617188,29277517
2015-06-01,192.11204528808594,206.23916625976562,206.8449249267578,200.69602966308594,201.1531982421875,19594976
2015-06-02,191.3455352783203,205.41627502441406,210.022216796875,203.77047729492188,207.03921508789062,20178960
2015-06-03,190.85581970214844,204.89053344726562,208.11355590820312,203.09616088867188,205.49627685546875,15546279
2015-06-04,194.33714294433594,208.62786865234375,209.4279022216797,204.02191162109375,206.68490600585938,15931395
2015-06-05,193.28314208984375,207.4963836669922,209.59934997558594,206.74205017089844,207.9878387451172,13066337
2015-06-08,188.53492736816406,202.3989715576172,208.0106964111328,201.86180114746094,207.2792205810547,10846953
2015-06-09,188.1623077392578,201.99896240234375,203.5876007080078,200.54745483398438,201.96466064453125,9153355
2015-06-10,192.86795043945312,207.05064392089844,207.9878387451172,202.29611206054688,202.52468872070312,13509379
2015-06-11,186.76766967773438,200.50173950195312,207.8964080810547,199.70169067382812,207.0963592529297,14676438
2015-06-12,189.4718017578125,203.4047393798828,204.0561981201172,200.753173828125,200.92462158203125,21543824
2015-06-15,192.00559997558594,206.1248779296875,206.86778259277344,203.43902587890625,204.55908203125,12858570
2015-06-16,192.47402954101562,206.6277618408203,206.86778259277344,204.17050170898438,205.49627685546875,13929305
2015-06-17,198.27626037597656,212.85665893554688,215.40536499023438,204.35336303710938,206.87921142578125,26232634
2015-06-18,208.44345092773438,223.77149963378906,224.4686737060547,213.15380859375,213.1652374267578,49366799
2015-06-19,212.21224975585938,227.8174285888672,230.04611206054688,224.58297729492188,224.58297729492188,45710935
2015-06-22,211.1582489013672,226.68594360351562,230.5718536376953,225.49729919433594,227.88600158691406,19394187
2015-06-23,211.86090087890625,227.4402618408203,229.20034790039062,226.5259246826172,226.90309143066406,16007498
2015-06-24,210.98789978027344,226.50306701660156,230.0575408935547,225.53158569335938,227.4402618408203,18603004
2015-06-25,213.8943328857422,229.62322998046875,230.6404266357422,225.15443420410156,225.61160278320312,27175118
2015-06-26,213.0745849609375,228.74319458007812,231.8061981201172,227.5316925048828,228.56031799316406,20966796
2015-06-29,210.97726440429688,226.49163818359375,227.17739868164062,222.18284606933594,225.81732177734375,20168946
2015-06-30,212.9468231201172,228.6060333251953,229.23463439941406,225.84017944335938,226.2744903564453,23184864
2015-07-01,214.1285858154297,229.8746795654297,230.9718780517578,228.811767578125,228.811767578125,14824266
2015-07-02,215.2357940673828,231.0633087158203,233.0977020263672,230.20611572265625,230.6404266357422,15931202
2015-07-03,214.45860290527344,230.22897338867188,231.7376251220703,229.2803497314453,230.81185913085938,13831096
2015-07-06,216.2365264892578,232.1376495361328,232.9033966064453,227.48597717285156,227.69171142578125,12237733
2015-07-07,213.6175537109375,229.32608032226562,232.37765502929688,228.5831756591797,231.09759521484375,11294999
2015-07-08,212.2015838623047,227.80599975585938,230.5718536376953,226.6745147705078,227.63455200195312,15190654
2015-07-09,210.24267578125,225.70303344726562,228.811767578125,224.73155212402344,227.66883850097656,16245867
2015-07-10,213.3087921142578,228.99462890625,229.4975128173828,226.3544921875,226.5487823486328,16110573
2015-07-13,214.416015625,230.18325805664062,231.4404754638672,227.47454833984375,228.99462890625,9860248
2015-07-14,212.45709228515625,228.08029174804688,231.21188354492188,227.48597717285156,230.61756896972656,9942927
2015-07-15,215.29966735839844,231.1318817138672,231.87477111816406,228.48031616210938,228.52603149414062,13532911
2015-07-16,217.97189331054688,234.00059509277344,234.9377899169922,231.1318817138672,231.326171875,14854295
2015-07-17,217.54600524902344,233.54342651367188,235.7035369873047,232.6976776123047,234.3549041748047,10195142
2015-07-20,218.1954345703125,234.24061584472656,235.4292449951172,232.67481994628906,234.9377899169922,6348354
2015-07-21,214.5863800048828,230.36611938476562,235.08636474609375,229.21177673339844,234.98350524902344,7923338
2015-07-22,223.656982421875,240.10377502441406,240.9152374267578,229.63465881347656,229.72608947753906,17309440
2015-07-23,222.57107543945312,238.93800354003906,244.09254455566406,238.0008087158203,240.8123779296875,18642915
2015-07-24,218.2593231201172,234.30918884277344,239.9323272705078,233.40628051757812,239.55517578125,13099664
2015-07-27,214.06468200683594,229.80609130859375,235.41781616210938,228.9832000732422,234.27490234375,20118553
2015-07-28,215.10801696777344,230.92616271972656,232.4005126953125,228.6060333251953,230.4804229736328,13382878
2015-07-29,212.07383728027344,227.66883850097656,231.48619079589844,226.77737426757812,230.7547149658203,14790821
2015-07-30,212.95748901367188,228.61746215820312,230.41184997558594,226.82308959960938,228.6060333251953,11701228
2015-07-31,213.3194580078125,229.0060577392578,230.3889923095703,226.29734802246094,228.5831756591797,16634259
2015-08-03,213.44720458984375,229.14320373535156,231.74905395507812,228.44602966308594,228.811767578125,9887787
2015-08-04,210.37042236328125,225.84017944335938,229.8746795654297,224.0115203857422,229.36036682128906,12006872
2015-08-05,210.31719970703125,225.7830352783203,228.76605224609375,224.94869995117188,225.89732360839844,14345010
2015-08-06,208.44345092773438,223.77149963378906,226.7545166015625,223.4400634765625,226.5259246826172,8708037
2015-08-07,209.59327697753906,225.005859375,227.21168518066406,223.36004638671875,223.78292846679688,8608888
2015-08-10,206.30357360839844,221.4742431640625,226.02304077148438,220.46847534179688,225.04014587402344,9288894
2015-08-11,205.6860809326172,220.8113555908203,222.5600128173828,218.98268127441406,221.9542694091797,8762464
2015-08-12,200.76748657226562,215.5310821533203,220.8113555908203,214.99391174316406,220.26275634765625,9650325
2015-08-13,198.73406982421875,213.34811401367188,218.0569305419922,212.44520568847656,216.46827697753906,9340350
